company_id,company_name,ald_sector,ald_business_unit,ald_location,activity_unit,Equity Ownership 2022,Equity Ownership 2023,Equity Ownership 2024,Equity Ownership 2025,Equity Ownership 2026
61,company-61,Power,HydroCap,NL,tCO2e,NA,163599,NA,944,NA
61,company-61,Power,HydroCap,BO,tCO2e,NA,62574,141617,NA,NA
69,company-69,Power,GasCap,NL,tCO2e,113592,371085,14867,422469,5412
69,company-69,Power,GasCap,BO,tCO2e,375091,113846,154535,44267,NA
75,company-75,Power,HydroCap,NA,tCO2e,382802,80325,23817,205816,NA
76,company-76,Power,NuclearCap,BN,tCO2e,133625,55998,69103,115000,NA
76,company-76,Power,NuclearCap,NL,tCO2e,40218,363082,37317,148247,13521
76,company-76,Power,NuclearCap,BO,tCO2e,14007,177597,118395,NA,97496
76,company-76,Power,NuclearCap,NA,tCO2e,12490,65183,NA,52486,55088
76,company-76,Power,NuclearCap,KZ,tCO2e,127755,NA,59093,8856,601182
84,company-84,Power,OilCap,BO,tCO2e,NA,39921,212425,325534,11257
84,company-84,Power,OilCap,BN,tCO2e,96646,NA,245326,NA,58202
84,company-84,Power,OilCap,NL,tCO2e,4388,17137,73691,107165,18109
84,company-84,Power,OilCap,FR,tCO2e,NA,45522,18194,31055,7797
90,company-90,Power,HydroCap,FR,tCO2e,NA,9074,50772,155408,16501
91,company-91,Power,NuclearCap,FR,tCO2e,243210,30905,96394,319564,NA
92,company-92,Power,CoalCap,NL,tCO2e,65241,39558,120177,85263,131750
92,company-92,Power,CoalCap,NA,tCO2e,180459,211547,109607,69193,13227
92,company-92,Power,CoalCap,BN,tCO2e,692,20879,3470,6212,NA
97,company-97,Power,RenewablesCap,NL,tCO2e,120678,NA,198778,40121,124392
97,company-97,Power,RenewablesCap,BN,tCO2e,NA,9009,79716,143598,30490
98,company-98,Power,GasCap,KZ,tCO2e,NA,8767,5277,59872,75801
1,company-1,Power,NuclearCap,FR,tCO2e,32867,68911,54723,27365,204090
1,company-1,Power,NuclearCap,NA,tCO2e,119144,49354,NA,46554,8297
1,company-1,Power,NuclearCap,BO,tCO2e,295020,17575,69625,37687,102408
1,company-1,Power,NuclearCap,KZ,tCO2e,NA,62515,NA,NA,63619
1,company-1,Power,NuclearCap,BN,tCO2e,134704,95030,NA,171195,1441
2,company-2,Power,HydroCap,NL,tCO2e,11816,230991,2686,18933,139461
2,company-2,Power,HydroCap,NA,tCO2e,180146,NA,18793,55660,99240
2,company-2,Power,HydroCap,BO,tCO2e,NA,6690,NA,154441,65670
9,company-9,Power,HydroCap,BN,tCO2e,96583,15334,29846,NA,129200
9,company-9,Power,HydroCap,FR,tCO2e,167572,22199,39645,333576,86341
9,company-9,Power,HydroCap,KZ,tCO2e,120411,116846,28984,344897,24144
10,company-10,Power,NuclearCap,BO,tCO2e,62451,149820,15803,144937,NA
10,company-10,Power,NuclearCap,NL,tCO2e,87487,15729,121101,36161,13001
10,company-10,Power,NuclearCap,FR,tCO2e,239394,140894,412906,27452,256399
22,company-22,Power,RenewablesCap,BO,tCO2e,167692,19376,178491,81640,169236
22,company-22,Power,RenewablesCap,FR,tCO2e,217294,4805,32846,350279,NA
27,company-27,Power,RenewablesCap,NA,tCO2e,28513,28213,56537,11501,42777
27,company-27,Power,RenewablesCap,KZ,tCO2e,78581,203769,37282,24674,NA
27,company-27,Power,RenewablesCap,BO,tCO2e,7796,46999,33444,99630,66764
27,company-27,Power,RenewablesCap,FR,tCO2e,31200,107185,NA,34645,80603
28,company-28,Power,RenewablesCap,BN,tCO2e,312025,7426,NA,16439,21770
28,company-28,Power,RenewablesCap,BO,tCO2e,54970,NA,109928,NA,NA
28,company-28,Power,RenewablesCap,FR,tCO2e,35110,168981,NA,25612,NA
35,company-35,Power,RenewablesCap,KZ,tCO2e,92016,12950,135078,159935,67373
35,company-35,Power,RenewablesCap,NA,tCO2e,34640,269296,79809,NA,NA
35,company-35,Power,RenewablesCap,NL,tCO2e,85596,NA,45900,4080,170607
35,company-35,Power,RenewablesCap,FR,tCO2e,NA,1042,NA,NA,83713
40,company-40,Power,HydroCap,NL,tCO2e,NA,65980,155937,38691,57579
41,company-41,Power,NuclearCap,NL,tCO2e,36228,36087,25863,1765,13039
41,company-41,Power,NuclearCap,FR,tCO2e,29186,NA,NA,65421,28933
43,company-43,Power,GasCap,NA,tCO2e,29216,NA,60311,53195,111747
43,company-43,Power,GasCap,FR,tCO2e,906,154909,75190,6300,34501
43,company-43,Power,GasCap,BO,tCO2e,236612,NA,115175,44381,50945
53,company-53,Power,CoalCap,NA,tCO2e,74212,NA,142872,247361,15085
53,company-53,Power,CoalCap,KZ,tCO2e,15367,310571,22366,NA,77345
53,company-53,Power,CoalCap,NL,tCO2e,3158,82213,238277,29598,85416
53,company-53,Power,CoalCap,BN,tCO2e,404360,42419,134089,NA,26286
53,company-53,Power,CoalCap,FR,tCO2e,4985,195284,487193,29055,15745
59,company-59,Power,RenewablesCap,NA,tCO2e,3001,67304,25010,52274,NA
67,company-67,Power,NuclearCap,NL,tCO2e,106162,1978,NA,80311,51360
67,company-67,Power,NuclearCap,FR,tCO2e,6561,209319,202506,NA,120274
67,company-67,Power,NuclearCap,NA,tCO2e,83236,318958,NA,20496,57367
68,company-68,Power,GasCap,BN,tCO2e,202300,NA,138337,NA,120120
73,company-73,Power,RenewablesCap,BN,tCO2e,43252,24919,67763,28043,82079
73,company-73,Power,RenewablesCap,FR,tCO2e,25291,214656,36378,43421,2679
73,company-73,Power,RenewablesCap,NL,tCO2e,49835,194177,40170,8853,185196
73,company-73,Power,RenewablesCap,BO,tCO2e,1128,107932,NA,NA,250901
74,company-74,Power,CoalCap,BN,tCO2e,34280,22213,63039,20857,295210
74,company-74,Power,CoalCap,FR,tCO2e,45004,76197,5210,318302,9337
74,company-74,Power,CoalCap,BO,tCO2e,117319,99985,232423,41605,41467
74,company-74,Power,CoalCap,NL,tCO2e,NA,61396,129601,93680,95410
78,company-78,Power,NuclearCap,BN,tCO2e,44809,151446,52082,20126,110330
78,company-78,Power,NuclearCap,BO,tCO2e,21018,NA,58403,62509,146319
79,company-79,Power,GasCap,KZ,tCO2e,NA,236095,131359,NA,115393
79,company-79,Power,GasCap,NL,tCO2e,54643,17738,NA,27590,16472
79,company-79,Power,GasCap,BN,tCO2e,293092,107953,39309,156895,NA
79,company-79,Power,GasCap,BO,tCO2e,57928,58792,457990,NA,62904
79,company-79,Power,GasCap,FR,tCO2e,208005,66864,282456,88681,17419
86,company-86,Power,GasCap,NA,tCO2e,24243,4556,32652,NA,NA
86,company-86,Power,GasCap,KZ,tCO2e,1284,725,NA,NA,47
93,company-93,Power,CoalCap,NA,tCO2e,NA,275101,81326,108095,38078
93,company-93,Power,CoalCap,FR,tCO2e,263804,NA,15109,44587,390609
93,company-93,Power,CoalCap,BN,tCO2e,270819,7101,59549,1506,147279
93,company-93,Power,CoalCap,KZ,tCO2e,71,33680,20038,123699,62397
95,company-95,Power,NuclearCap,NL,tCO2e,17945,202919,NA,NA,NA
95,company-95,Power,NuclearCap,BN,tCO2e,86463,153177,317697,39615,44746
1,company-1,Power,OilCap,ZA,tCO2e,63626,66786,135580,68174,103551
1,company-1,Power,OilCap,DE,tCO2e,26101,72451,61307,138363,70794
1,company-1,Power,OilCap,LK,tCO2e,161973,84700,NA,116003,48295
1,company-1,Power,RenewablesCap,LK,tCO2e,18868,7020,134329,61079,159717
1,company-1,Steel,Electric Arc Furnace,JO,tCO2e,139847,91351,241748,31595,227858
1,company-1,Steel,Electric Arc Furnace,ZA,tCO2e,125291,123279,78344,120637,364635
1,company-1,Steel,Electric Arc Furnace,FJ,tCO2e,314046,129830,NA,23897,94484
1,company-1,Steel,Electric Arc Furnace,LK,tCO2e,118467,NA,216589,255332,125701
2,company-2,Steel,Open Hearth Furnace,CX,tCO2e,165179,71280,113612,150129,77945
2,company-2,Steel,Open Hearth Furnace,FJ,tCO2e,119629,22290,21465,21944,97876
2,company-2,Automotive,Electric,JO,tCO2,8218,10082,NA,464053,50879
2,company-2,Automotive,Electric,LK,tCO2,NA,77974,22486,13290,85427
2,company-2,Automotive,Electric,FJ,tCO2,243237,33829,110678,NA,76560
2,company-2,Automotive,Electric,ZA,tCO2,NA,11799,111996,201777,52773
2,company-2,Automotive,Electric,DE,tCO2,39239,65447,57076,99515,61192
2,company-2,Power,NuclearCap,FJ,tCO2e,161836,132192,116898,66701,55785
2,company-2,Power,NuclearCap,CX,tCO2e,NA,NA,NA,65240,56444
2,company-2,Power,NuclearCap,JO,tCO2e,331423,118945,310133,11189,31085
2,company-2,Power,NuclearCap,LK,tCO2e,111662,NA,14291,NA,100205
2,company-2,Power,NuclearCap,ZA,tCO2e,145164,165073,105354,17596,56035
3,company-3,Power,CoalCap,JO,tCO2e,NA,132382,56172,96449,84479
3,company-3,Power,CoalCap,DE,tCO2e,264789,175304,7416,173247,9300
3,company-3,Power,GasCap,JO,tCO2e,NA,178603,178912,82691,21045
3,company-3,Power,GasCap,ZA,tCO2e,98898,40452,NA,152235,126120
3,company-3,Steel,Electric Arc Furnace,JO,tCO2e,NA,50328,139872,295648,61105
3,company-3,Steel,Electric Arc Furnace,CX,tCO2e,267128,NA,207375,57346,2144
3,company-3,Steel,Electric Arc Furnace,ZA,tCO2e,251327,NA,251785,610,60856
4,company-4,Shipping,Freight,FJ,tCO2,37913,59658,NA,8360,23211
4,company-4,Power,OilCap,LK,tCO2e,48436,NA,120779,NA,89430
4,company-4,Power,OilCap,FJ,tCO2e,27524,17878,64752,240976,518653
4,company-4,Power,OilCap,CX,tCO2e,67219,39352,41020,NA,66624
4,company-4,Power,OilCap,DE,tCO2e,112124,156370,10530,23546,NA
4,company-4,Power,HydroCap,JO,tCO2e,86566,478321,10615,139449,NA
5,company-5,Power,GasCap,DE,tCO2e,NA,NA,23788,19943,54136
5,company-5,Power,GasCap,CX,tCO2e,311112,5407,5575,NA,60925
5,company-5,Power,GasCap,LK,tCO2e,112023,NA,50359,36958,77191
5,company-5,Power,GasCap,FJ,tCO2e,NA,8616,147716,323040,1659
5,company-5,Power,GasCap,ZA,tCO2e,15789,53450,78465,48190,119928
5,company-5,Steel,Electric Arc Furnace,ZA,tCO2e,NA,17311,204792,40618,42902
5,company-5,Steel,Electric Arc Furnace,JO,tCO2e,95853,174175,23481,52577,NA
5,company-5,Steel,Electric Arc Furnace,DE,tCO2e,14338,59318,69459,365062,38352
5,company-5,Steel,Electric Arc Furnace,LK,tCO2e,46814,117284,109758,120966,6551
5,company-5,Steel,Electric Arc Furnace,CX,tCO2e,133768,55072,118963,76786,NA
5,company-5,Power,CoalCap,FJ,tCO2e,4659,92629,17184,121022,7945
6,company-6,Automotive,Electric,CX,tCO2,9991,27308,78522,73427,NA
6,company-6,Power,GasCap,DE,tCO2e,93496,105614,43024,157905,190362
6,company-6,Power,GasCap,JO,tCO2e,266432,58117,58166,129641,36325
6,company-6,Power,GasCap,CX,tCO2e,243043,217633,2300,123425,NA
6,company-6,Power,GasCap,LK,tCO2e,1268,116086,NA,17006,91929
6,company-6,Power,GasCap,ZA,tCO2e,76232,NA,50566,36993,41399
6,company-6,Power,RenewablesCap,ZA,tCO2e,173603,161950,91524,NA,27766
6,company-6,Power,RenewablesCap,FJ,tCO2e,91026,105804,48264,95427,152650
6,company-6,Power,RenewablesCap,LK,tCO2e,21945,NA,24180,27519,37979
6,company-6,Power,RenewablesCap,CX,tCO2e,NA,313091,NA,224472,49076
7,company-7,Power,NuclearCap,ZA,tCO2e,269954,118424,67428,51527,15575
7,company-7,Power,NuclearCap,FJ,tCO2e,19297,1464,153192,4445,72749
7,company-7,Aviation,Passenger,FJ,tCO2,NA,21464,48126,NA,191019
7,company-7,Aviation,Passenger,JO,tCO2,58763,51250,9770,65022,36827
7,company-7,Power,GasCap,LK,tCO2e,223402,26601,104229,30598,65631
7,company-7,Power,GasCap,CX,tCO2e,14602,NA,58168,NA,178327
7,company-7,Power,GasCap,JO,tCO2e,NA,83096,NA,70710,NA
7,company-7,Power,GasCap,ZA,tCO2e,19899,144471,64837,NA,854
7,company-7,Power,GasCap,FJ,tCO2e,533513,275165,7264,NA,93307
8,company-8,Power,GasCap,JO,tCO2e,97729,NA,29350,165524,69540
8,company-8,Power,GasCap,DE,tCO2e,48704,148902,52964,15395,213385
8,company-8,Power,GasCap,CX,tCO2e,NA,62128,34180,45700,31882
8,company-8,Power,GasCap,FJ,tCO2e,4212,77196,69824,16507,20383
8,company-8,Power,CoalCap,JO,tCO2e,32337,142355,11011,75959,39287
8,company-8,Power,CoalCap,FJ,tCO2e,238114,75909,54268,165418,19618
8,company-8,Aviation,Freight,ZA,tCO2,NA,54100,NA,250716,NA
8,company-8,Aviation,Freight,LK,tCO2,35101,19169,NA,105907,25230
8,company-8,Aviation,Freight,JO,tCO2,NA,51387,72268,55812,280
8,company-8,Aviation,Freight,FJ,tCO2,32857,NA,107844,61200,118877
9,company-9,Automotive,FuelCell,JO,tCO2,16928,301437,NA,215822,101145
9,company-9,Automotive,FuelCell,DE,tCO2,228852,72799,97366,418597,NA
9,company-9,Power,RenewablesCap,LK,tCO2e,166085,358914,214508,379793,NA
9,company-9,Power,RenewablesCap,DE,tCO2e,279258,9543,49420,155644,108877
9,company-9,Automotive,Electric,LK,tCO2,NA,95330,196286,NA,88684
9,company-9,Automotive,Electric,FJ,tCO2,493361,11396,176067,19903,14575
9,company-9,Automotive,Electric,CX,tCO2,143936,NA,NA,84618,84269
9,company-9,Automotive,Electric,ZA,tCO2,245201,71346,114889,95952,99060
9,company-9,Automotive,Electric,DE,tCO2,NA,106162,45753,99791,4451
10,company-10,Power,RenewablesCap,DE,tCO2e,39093,109960,22102,42691,15992
10,company-10,Power,RenewablesCap,ZA,tCO2e,32690,NA,35922,39270,65587
10,company-10,Power,RenewablesCap,JO,tCO2e,108607,36276,39732,105245,38095
10,company-10,Power,RenewablesCap,FJ,tCO2e,22947,6499,36430,35223,NA
10,company-10,Power,RenewablesCap,CX,tCO2e,24064,32762,77278,NA,29772
10,company-10,Steel,Basic Oxygen Furnace,ZA,tCO2e,129387,77606,NA,119837,NA
10,company-10,Steel,Basic Oxygen Furnace,LK,tCO2e,12258,161577,76154,188592,132183
10,company-10,Steel,Basic Oxygen Furnace,CX,tCO2e,142451,NA,184033,53842,183077
10,company-10,Steel,Basic Oxygen Furnace,DE,tCO2e,50462,NA,17174,16474,98826
10,company-10,Steel,Basic Oxygen Furnace,FJ,tCO2e,99496,59490,99941,NA,48689
10,company-10,Power,GasCap,CX,tCO2e,NA,9466,3023,19814,NA
10,company-10,Power,GasCap,DE,tCO2e,125613,27289,186943,2586,9935
10,company-10,Power,GasCap,FJ,tCO2e,NA,111285,183034,60734,182054
10,company-10,Power,GasCap,LK,tCO2e,17157,44890,178029,3218,NA
10,company-10,Power,GasCap,JO,tCO2e,211285,183961,173574,172146,NA
11,company-11,Steel,Basic Oxygen Furnace,JO,tCO2e,13466,170238,NA,9304,27725
11,company-11,Steel,Basic Oxygen Furnace,FJ,tCO2e,17483,381787,197603,41353,126794
11,company-11,Steel,Open Hearth Furnace,DE,tCO2e,108890,NA,148115,27362,7645
11,company-11,Steel,Open Hearth Furnace,ZA,tCO2e,201475,38762,108941,123384,32229
11,company-11,Steel,Open Hearth Furnace,CX,tCO2e,113895,43443,65633,NA,55846
11,company-11,Steel,Open Hearth Furnace,JO,tCO2e,123904,27510,42061,207323,79651
11,company-11,Power,HydroCap,CX,tCO2e,9559,11566,NA,NA,28666
11,company-11,Power,HydroCap,FJ,tCO2e,11399,NA,120605,NA,1130
11,company-11,Power,HydroCap,JO,tCO2e,161077,148143,NA,166935,233823
12,company-12,Shipping,Passenger,FJ,tCO2,86396,186038,NA,233763,49060
12,company-12,Shipping,Passenger,ZA,tCO2,NA,162687,94204,185712,64425
12,company-12,Shipping,Passenger,JO,tCO2,52011,9438,73536,185343,72535
12,company-12,Shipping,Passenger,DE,tCO2,NA,3933,93215,117701,16209
12,company-12,Shipping,Passenger,LK,tCO2,91581,240120,37081,21932,NA
12,company-12,Power,NuclearCap,ZA,tCO2e,48134,82458,89425,71684,74640
12,company-12,Power,NuclearCap,JO,tCO2e,NA,23578,114745,13340,49407
12,company-12,Power,NuclearCap,DE,tCO2e,182342,179365,33590,NA,34666
12,company-12,Power,NuclearCap,CX,tCO2e,24486,40003,27187,31701,NA
12,company-12,Cement,Integrated facility,FJ,tCO2e,19621,92336,29520,156731,123376
12,company-12,Cement,Integrated facility,LK,tCO2e,110289,491379,146364,204656,352345
12,company-12,Cement,Integrated facility,DE,tCO2e,NA,NA,NA,23127,NA
13,company-13,Oil&Gas,Oil,ZA,tCO2e,76890,394729,9432,88033,40037
13,company-13,Oil&Gas,Oil,JO,tCO2e,14734,NA,12371,30704,271542
13,company-13,Oil&Gas,Oil,DE,tCO2e,126396,NA,NA,NA,NA
13,company-13,Oil&Gas,Oil,CX,tCO2e,51976,100197,181428,19025,180497
13,company-13,Aviation,Freight,LK,tCO2,157837,46849,19336,NA,211055
13,company-13,Aviation,Freight,JO,tCO2,NA,77853,148292,21845,NA
13,company-13,Aviation,Freight,DE,tCO2,21206,27590,2437,13331,80357
13,company-13,Coal,Coal,ZA,tCO2e,153444,NA,67947,NA,36209
13,company-13,Coal,Coal,JO,tCO2e,27336,NA,NA,208537,16452
14,company-14,Power,NuclearCap,CX,tCO2e,NA,NA,NA,29243,45132
14,company-14,Power,NuclearCap,ZA,tCO2e,109779,39975,14338,83109,62302
14,company-14,Power,NuclearCap,DE,tCO2e,39965,97221,99944,33928,233541
14,company-14,Power,NuclearCap,JO,tCO2e,46425,45772,73403,8953,47736
14,company-14,Coal,Coal,ZA,tCO2e,46890,366082,256497,NA,421303
14,company-14,Coal,Coal,CX,tCO2e,NA,72432,183341,35253,NA
14,company-14,Coal,Coal,FJ,tCO2e,28092,111348,36977,247958,NA
14,company-14,Coal,Coal,JO,tCO2e,169626,181982,66915,129196,188787
14,company-14,Power,RenewablesCap,ZA,tCO2e,41640,28320,NA,NA,19185
14,company-14,Power,RenewablesCap,LK,tCO2e,NA,64386,334269,NA,NA
14,company-14,Power,RenewablesCap,FJ,tCO2e,40651,NA,185721,18488,38994
14,company-14,Power,RenewablesCap,CX,tCO2e,32530,126803,209977,105810,102115
15,company-15,Power,GasCap,JO,tCO2e,47581,292988,174366,NA,260078
15,company-15,Power,GasCap,LK,tCO2e,NA,56178,NA,102219,88687
15,company-15,Power,GasCap,ZA,tCO2e,5778,NA,NA,NA,133952
15,company-15,Power,GasCap,FJ,tCO2e,NA,165312,110777,80969,32817
15,company-15,Power,GasCap,DE,tCO2e,40461,31679,NA,NA,NA
15,company-15,Power,HydroCap,JO,tCO2e,NA,89341,NA,196492,177169
15,company-15,Power,HydroCap,FJ,tCO2e,2385,NA,10235,216508,NA
15,company-15,Power,HydroCap,CX,tCO2e,81735,86029,55516,162147,114327
15,company-15,Power,HydroCap,LK,tCO2e,42698,31766,18475,28882,77157
15,company-15,Power,HydroCap,ZA,tCO2e,NA,75570,NA,NA,246757
15,company-15,Power,OilCap,CX,tCO2e,153967,33852,75375,84461,163913
15,company-15,Power,OilCap,LK,tCO2e,NA,117922,358854,25891,45347
15,company-15,Power,OilCap,JO,tCO2e,NA,NA,73112,8848,42398
15,company-15,Power,OilCap,FJ,tCO2e,133109,NA,48766,2327,88622
15,company-15,Power,OilCap,ZA,tCO2e,NA,61779,NA,16479,40430
16,company-16,Power,GasCap,FJ,tCO2e,55229,15946,231043,108544,2682
16,company-16,Power,GasCap,LK,tCO2e,27326,NA,6440,53799,111439
16,company-16,Oil&Gas,Gas,LK,tCO2e,NA,760,341,57936,192747
16,company-16,Oil&Gas,Gas,CX,tCO2e,100268,52822,158193,47647,4753
16,company-16,Oil&Gas,Gas,DE,tCO2e,197133,35563,NA,41387,10483
16,company-16,Coal,Coal,ZA,tCO2e,54780,135188,23285,42297,8299
16,company-16,Coal,Coal,DE,tCO2e,5799,18550,NA,37469,NA
16,company-16,Coal,Coal,FJ,tCO2e,96273,62577,122373,156571,91929
17,company-17,Automotive,FuelCell,ZA,tCO2,22720,35675,17908,185254,17531
17,company-17,Automotive,FuelCell,DE,tCO2,69195,19663,80401,86277,108900
17,company-17,Automotive,FuelCell,JO,tCO2,40013,118821,305962,NA,81912
17,company-17,Power,RenewablesCap,FJ,tCO2e,26625,20741,74374,459109,51109
17,company-17,Power,RenewablesCap,CX,tCO2e,115894,204878,55014,27378,11028
17,company-17,Power,CoalCap,LK,tCO2e,NA,145349,113464,10878,13919
17,company-17,Power,CoalCap,ZA,tCO2e,166787,74048,NA,67906,144344
18,company-18,Cement,Integrated facility,FJ,tCO2e,8324,44158,24635,NA,85224
18,company-18,Cement,Integrated facility,JO,tCO2e,NA,NA,105702,78140,120876
18,company-18,Cement,Integrated facility,LK,tCO2e,18584,61318,286324,191601,77061
18,company-18,Cement,Integrated facility,DE,tCO2e,164230,NA,117516,20947,186662
18,company-18,Cement,Integrated facility,CX,tCO2e,NA,234888,1133,32748,48619
18,company-18,Automotive,ICE,ZA,tCO2,NA,77707,123903,74430,NA
18,company-18,Automotive,ICE,DE,tCO2,72011,184120,NA,65882,NA
18,company-18,Power,GasCap,CX,tCO2e,NA,142335,7931,NA,44478
19,company-19,Power,RenewablesCap,LK,tCO2e,80131,161253,NA,175047,NA
19,company-19,Power,RenewablesCap,JO,tCO2e,17514,86825,72288,NA,NA
19,company-19,Oil&Gas,Oil,ZA,tCO2e,26503,68511,NA,158168,75450
19,company-19,Aviation,Freight,FJ,tCO2,113381,30004,52111,178390,54198
19,company-19,Aviation,Freight,ZA,tCO2,NA,NA,64967,NA,103273
19,company-19,Aviation,Freight,LK,tCO2,210341,42435,111455,39790,11714
19,company-19,Aviation,Freight,CX,tCO2,52538,6607,132558,106328,125163
19,company-19,Aviation,Freight,DE,tCO2,13851,65293,319520,271162,NA
20,company-20,Power,NuclearCap,DE,tCO2e,27290,183127,21531,1375,74811
20,company-20,Power,NuclearCap,CX,tCO2e,NA,NA,205704,114899,171191
20,company-20,Power,NuclearCap,FJ,tCO2e,4079,82058,13265,321496,88771
20,company-20,Power,NuclearCap,JO,tCO2e,93292,NA,11377,161114,265866
20,company-20,Power,HydroCap,LK,tCO2e,127041,NA,NA,NA,57765
20,company-20,Shipping,Freight,ZA,tCO2,200356,379591,75336,NA,136462
20,company-20,Shipping,Freight,CX,tCO2,NA,101051,NA,NA,170657
20,company-20,Shipping,Freight,DE,tCO2,110157,58875,120172,253397,NA
20,company-20,Shipping,Freight,LK,tCO2,NA,89954,898,40012,128127
21,company-21,Power,GasCap,LK,tCO2e,62053,NA,204185,196952,1858
21,company-21,Power,GasCap,FJ,tCO2e,104094,342027,145425,76770,7900
21,company-21,Power,OilCap,DE,tCO2e,22124,3108,437120,92924,96439
21,company-21,Power,OilCap,LK,tCO2e,14022,140706,25708,52753,49813
21,company-21,Power,OilCap,CX,tCO2e,NA,61696,4796,7886,79208
21,company-21,Automotive,ICE,ZA,tCO2,25436,417356,28880,47322,4616
21,company-21,Automotive,ICE,CX,tCO2,126603,64614,93066,105524,NA
22,company-22,Coal,Coal,ZA,tCO2e,165810,NA,22556,164819,298687
22,company-22,Coal,Coal,LK,tCO2e,82912,174302,137499,54924,191947
22,company-22,Coal,Coal,FJ,tCO2e,154731,NA,137019,NA,55254
22,company-22,Coal,Coal,DE,tCO2e,2091,185636,79350,70996,NA
22,company-22,Coal,Coal,CX,tCO2e,39448,NA,40610,138358,26006
22,company-22,Power,GasCap,JO,tCO2e,641822,16527,45378,116514,NA
22,company-22,Automotive,ICE,JO,tCO2,279183,11055,NA,1078,12851
22,company-22,Automotive,ICE,LK,tCO2,NA,134542,324857,NA,NA
22,company-22,Automotive,ICE,FJ,tCO2,245565,36657,NA,NA,60145
22,company-22,Automotive,ICE,DE,tCO2,NA,22450,272,58581,41491
23,company-23,Power,OilCap,FJ,tCO2e,137165,52422,252255,53419,238210
23,company-23,Power,OilCap,DE,tCO2e,139389,491035,57262,28103,244967
23,company-23,Power,OilCap,JO,tCO2e,189249,65617,152699,NA,77977
23,company-23,Power,OilCap,ZA,tCO2e,35796,91134,28858,423159,60050
23,company-23,Power,OilCap,LK,tCO2e,99937,108947,168430,48759,34251
23,company-23,Automotive,Electric,JO,tCO2,16030,NA,155346,107551,19017
23,company-23,Steel,Basic Oxygen Furnace,JO,tCO2e,82801,56399,18585,NA,255738
24,company-24,Power,NuclearCap,FJ,tCO2e,111824,28487,28234,105076,NA
24,company-24,Power,NuclearCap,JO,tCO2e,21736,29260,160365,39736,NA
24,company-24,Automotive,FuelCell,CX,tCO2,127010,225389,197093,10086,7301
24,company-24,Automotive,FuelCell,ZA,tCO2,170947,301401,NA,55295,9635
24,company-24,Shipping,Passenger,LK,tCO2,119354,NA,164046,124713,210939
24,company-24,Shipping,Passenger,JO,tCO2,25775,23831,NA,7337,116518
25,company-25,Power,OilCap,DE,tCO2e,163822,NA,46985,271053,41525
25,company-25,Power,OilCap,ZA,tCO2e,132254,36953,7664,445556,64673
25,company-25,Power,OilCap,FJ,tCO2e,NA,NA,NA,329115,101831
25,company-25,Power,OilCap,JO,tCO2e,27384,116508,60471,517440,93936
25,company-25,Power,CoalCap,FJ,tCO2e,9995,NA,48460,192714,253491
25,company-25,Power,CoalCap,DE,tCO2e,20784,22681,195007,348661,NA
25,company-25,Power,CoalCap,CX,tCO2e,142642,102220,146491,NA,NA
25,company-25,Power,CoalCap,FJ,tCO2e,17104,13715,NA,463993,9927
26,company-26,Steel,Electric Arc Furnace,CX,tCO2e,NA,9532,74660,14648,103725
26,company-26,Power,RenewablesCap,ZA,tCO2e,NA,56725,NA,171850,117733
26,company-26,Power,RenewablesCap,DE,tCO2e,9204,6376,15085,160640,NA
26,company-26,Power,RenewablesCap,CX,tCO2e,NA,NA,202417,NA,35253
26,company-26,Power,RenewablesCap,LK,tCO2e,NA,NA,12757,37071,90181
26,company-26,Power,RenewablesCap,JO,tCO2e,69093,145212,115937,24884,NA
26,company-26,Power,OilCap,LK,tCO2e,3541,12896,272214,48191,104625
26,company-26,Power,OilCap,FJ,tCO2e,2480,32858,92173,NA,275136
26,company-26,Power,OilCap,ZA,tCO2e,NA,6354,812,109502,28374
27,company-27,Power,RenewablesCap,JO,tCO2e,91294,72808,25455,122780,83977
27,company-27,Power,NuclearCap,CX,tCO2e,NA,81517,NA,NA,22759
27,company-27,Automotive,ICE,CX,tCO2,NA,109683,46285,67138,74837
27,company-27,Automotive,ICE,DE,tCO2,NA,30808,NA,9168,27594
27,company-27,Automotive,ICE,LK,tCO2,10656,38212,20435,11155,34447
27,company-27,Automotive,ICE,FJ,tCO2,NA,681316,NA,79175,NA
27,company-27,Automotive,ICE,ZA,tCO2,NA,NA,163141,52242,149867
28,company-28,Shipping,Passenger,DE,tCO2,13864,9308,167665,127024,NA
28,company-28,Shipping,Passenger,LK,tCO2,15343,115886,30948,72532,6191
28,company-28,Shipping,Passenger,ZA,tCO2,70205,NA,66100,NA,46709
28,company-28,Shipping,Passenger,JO,tCO2,18179,NA,126666,125527,61865
28,company-28,Power,GasCap,CX,tCO2e,NA,43163,81619,161076,144096
28,company-28,Power,NuclearCap,DE,tCO2e,77362,254409,125432,NA,43989
28,company-28,Power,NuclearCap,ZA,tCO2e,NA,176392,36182,3130,154950
28,company-28,Power,NuclearCap,FJ,tCO2e,72235,NA,NA,50703,NA
28,company-28,Power,NuclearCap,CX,tCO2e,56060,102683,486918,362924,5161
29,company-29,Cement,Integrated facility,CX,tCO2e,457067,275460,5411,2693,104113
29,company-29,Cement,Integrated facility,DE,tCO2e,28254,122325,90767,NA,NA
29,company-29,Cement,Integrated facility,ZA,tCO2e,95340,NA,2784,56520,20824
